iter	Passed	Remaining
289	16363	28777
290	16411	28705
291	16464	28643
292	16512	28573
293	16562	28506
294	16610	28434
295	16654	28357
296	16698	28280
297	16748	28213
298	16798	28146
299	16847	28078
300	16891	28002
301	16940	27934
302	16985	27861
303	17030	27787
304	17078	27717
305	17126	27648
306	17174	27580
307	17218	27505
308	17265	27434
309	17309	27359
310	17365	27305
311	17415	27240
312	17459	27165
313	17524	27123
314	17578	27065
315	17623	26993
316	17678	26936
317	17731	26875
318	17799	26839
319	17871	26806
320	17925	26748
321	17979	26689
322	18033	26630
323	18086	26570
324	18133	26503
325	18208	26474
326	18294	26462
327	18354	26412
328	18406	26350
329	18458	26289
330	18510	26227
331	18575	26184
332	18623	26117
333	18671	26050
334	18725	25992
335	18783	25938
336	18835	25877
337	18885	25814
338	18935	25749
339	18999	25705
340	19049	25641
341	19104	25583
342	19157	25524
343	19210	25464
344	19254	25393
345	19306	25332
346	19351	25263
347	19396	25192
348	19439	25121
349	19483	25050
350	19531	24984
351	19582	24923
352	19630	24857
353	19684	24800
354	19733	24736
355	19782	24673
356	19828	24605
357	19876	24540
358	19921	24471
359	19967	24405
360	20015	24340
361	20063	24275
362	20110	24210
363	20157	24144
364	20208	24084
365	20258	24022
366	20310	23962
367	20357	23898
368	20407	23836
369	20453	23770
370	20498	23703
371	20546	23639
372	20594	23575
373	20642	23512
374	20686	23444
375	20732	23379
376	20775	23310
377	20822	23246
378	20874	23187
379	20923	23126
380	20970	23062
381	21016	22996
382	21062	22932
383	21106	22864
384	21150	22798
385	21194	22731
386	21239	22666
387	21286	22603
388	21332	22539
389	21380	22476
390	21435	22421
391	21481	22358
392	21525	22291
393	21575	22232
394	21628	22176
395	21681	22119
396	21729	22057
397	21784	22002
398	21831	21941
399	21880	21880
400	21927	21817
401	21969	21750
402	22013	21685
403	22074	21637
404	22124	21578
405	22172	21517
406	22219	21455
407	22273	21400
408	22323	21340
409	22370	21279
410	22417	21217
411	22470	21161
412	22520	21102
413	22573	21047
414	22617	20982
415	22664	20921
416	22713	20861
417	22764	20804
418	22811	20742
419	22858	20681
420	22904	20619
421	22954	20561
422	23002	20500
423	23048	20439
424	23094	20377
425	23137	20312
426	23184	20252
427	23231	20191
428	23278	20131
429	23323	20069
430	23373	20010
431	23425	19955
432	23470	19892
433	23530	19843
434	23586	19791
435	23640	19736
436	23694	19682
437	23746	19626
438	23812	19581
439	23863	19524
440	23909	19463
441	23959	19406
442	24005	19344
443	24054	19286
444	24104	19229
445	24159	19175
446	24206	19116
447	24256	19058
448	24301	18997
449	24350	18939
450	24407	18887
451	24452	18826
452	24501	18768
453	24547	18707
454	24608	18658
455	24659	18602
456	24707	18544
457	24757	18486
458	24807	18430
459	24852	18369
460	24899	18309
461	24949	18253
462	24999	18196
463	25050	18139
464	25104	18085
465	25147	18024
466	25190	17962
467	25242	17907
468	25284	17844
469	25332	17786
470	25384	17731
471	25432	17673
472	25498	17627
473	25563	17581
474	25622	17531
475	25679	17479
476	25737	17428
477	25796	17377
478	25854	17326
479	25906	17271
480	25955	17213
481	26008	17159
482	26060	17103
483	26112	17048
484	26163	16992
485	26217	16938
486	26267	16882
487	26316	16825
488	26369	16770
489	26417	16712
490	26463	16654
491	26518	16600
492	26565	16542
493	26612	16484
494	26661	16427
495	26704	16367
496	26751	16309
497	26792	16247
498	26842	16191
499	26886	16131
500	26933	16074
501	26989	16021
502	27038	15965
503	27089	15909
504	27138	15853
505	27190	15798
506	27237	15740
507	27280	15681
508	27328	15623
509	27374	15565
510	27425	15510
511	27474	15454
512	27521	15397
513	27572	15341
514	27620	15285
515	27671	15229
516	27721	15174
517	27770	15118
518	27820	15062
519	27869	15006
520	27921	14952
521	27970	14896
522	28020	14840
523	28072	14786
524	28124	14731
525	28172	14675
526	28219	14618
527	28271	14563
528	28328	14512
529	28387	14461
530	28436	14405
531	28483	14349
532	28544	14299
533	28587	14240
534	28630	14181
535	28676	14124
536	28733	14072
537	28784	14017
538	28834	13962
539	28885	13907
540	28938	13854
541	28993	13801
542	29048	13748
543	29095	13691
544	29149	13638
545	29200	13584
546	29245	13526
547	29287	13468
548	29337	13412
549	29384	13356
550	29436	13302
551	29490	13249
552	29539	13193
553	29584	13136
554	29639	13083
555	29688	13028
556	29735	12972
557	29793	12921
558	29851	12869
559	29898	12813
560	29945	12757
561	29993	12701
562	30037	12644
563	30090	12590
564	30145	12538
565	30195	12483
566	30239	12426
567	30285	12370
568	30332	12314
569	30382	12259
570	30428	12203
571	30480	12149
572	30532	12095
573	30650	12067
574	30719	12020
575	30771	11966
576	30821	11911
577	30862	11853
578	30907	11797
579	30956	11742
580	30998	11684
581	31046	11629
582	31093	11573
583	31146	11519
584	31193	11464
585	31245	11410
586	31292	11355
587	31340	11299
588	31390	11245
589	31438	11190
590	31486	11134
591	31533	11079
592	31583	11024
593	31626	10968
594	31668	10911
595	31718	10856
596	31762	10800
597	31806	10743
598	31855	10689
599	31901	10633
600	31944	10577
601	31991	10522
602	32038	10466
603	32084	10411
604	32128	10355
605	32168	10298
606	32212	10242
607	32267	10189
608	32324	10137
609	32366	10081
610	32414	10026
611	32461	9971
612	32509	9917
613	32580	9869
614	32639	9818
615	32694	9765
616	32747	9712
617	32793	9657
618	32842	9603
619	32891	9549
620	32938	9494
621	32979	9437
622	33027	9383
623	33070	9327
624	33112	9271
625	33155	9215
626	33199	9160
627	33258	9108
628	33314	9056
629	33362	9002
630	33408	8947
631	33470	8897
632	33562	8854
633	33631	8805
634	33687	8753
635	33755	8704
636	33827	8656
637	33876	8601
638	33927	8548
639	33973	8493
640	34021	8438
641	34067	8384
642	34114	8329
643	34158	8274
644	34208	8220
645	34255	8166
646	34306	8112
647	34350	8057
648	34396	8002
649	34448	7949
650	34496	7895
651	34540	7840
652	34588	7786
653	34640	7733
654	34690	7679
655	34734	7624
656	34783	7570
657	34845	7519
658	34905	7468
659	34953	7414
660	35001	7360
661	35048	7306
662	35099	7252
663	35146	7198
664	35193	7144
665	35251	7092
666	35307	7040
667	35348	6985
668	35392	6930
669	35441	6876
670	35488	6822
671	35536	6768
672	35585	6715
673	35634	6661
674	35700	6611
675	35741	6556
676	35787	6501
677	35834	6448
678	35877	6393
679	35921	6339
680	35970	6285
681	36019	6232
682	36068	6178
683	36116	6124
684	36159	6070
685	36206	6016
686	36254	5963
687	36304	5909
688	36351	5856
689	36398	5802
690	36445	5748
691	36495	5695
692	36543	5642
693	36596	5589
694	36639	5535
695	36687	5481
696	36736	5428
697	36787	5375
698	36833	5322
699	36881	5268
700	36923	5214
701	36969	5160
702	37021	5108
703	37068	5054
704	37114	5001
705	37164	4948
706	37215	4895
707	37266	4842
708	37316	4789
709	37361	4735
710	37412	4683
711	37461	4630
712	37511	4577
713	37561	4524
714	37608	4470
715	37655	4417
716	37705	4364
717	37752	4311
718	37799	4258
719	37846	4205
720	37895	4152
721	37941	4098
722	37983	4045
723	38034	3992
724	38081	3939
725	38129	3886
726	38177	3833
727	38223	3780
728	38272	3727
729	38322	3674
730	38368	3621
731	38412	3568
732	38473	3516
733	38515	3463
734	38560	3410
735	38609	3357
736	38656	3304
737	38701	3251
738	38750	3198
739	38810	3146
740	38858	3093
741	38905	3041
742	38952	2988
743	38998	2935
744	39049	2882
745	39092	2829
746	39134	2776
747	39177	2723
748	39224	2670
749	39268	2617
750	39324	2565
751	39367	2512
752	39415	2460
753	39460	2407
754	39508	2354
755	39555	2302
756	39610	2249
757	39669	2198
758	39719	2145
759	39767	2093
760	39811	2040
761	39858	1987
762	39904	1935
763	39945	1882
764	39990	1829
765	40037	1777
766	40086	1724
767	40139	1672
768	40188	1620
769	40243	1567
770	40300	1515
771	40350	1463
772	40402	1411
773	40450	1358
774	40501	1306
775	40556	1254
776	40605	1201
777	40657	1149
778	40704	1097
779	40753	1044
780	40803	992
781	40850	940
782	40891	887
783	40934	835
784	40977	783
785	41012	730
786	41042	677
787	41073	625
788	41100	573
789	41137	520
790	41164	468
791	41187	416
792	41209	363
793	41231	311
794	41254	259
795	41275	2077796	41298	155
797	41320	103
798	41343	51
799	41364	0
