iter	F1	Logloss
0	0.7993820349	0.6027892971
1	0.7993820349	0.5319114593
2	0.7993820349	0.4692427865
3	0.7993820349	0.4086431015
4	0.7993820349	0.3515037309
5	0.7993820349	0.3070663906
6	0.7993820349	0.2800712455
7	0.7993820349	0.2537604501
8	0.7993820349	0.2229897465
9	0.7993820349	0.2002653796
10	0.7993820349	0.1821343786
11	0.7993820349	0.1684003828
12	0.7993820349	0.1572172154
13	0.7993820349	0.1462292601414	0.7993820349	0.1372961701515	0.7993820349	0.1278533016	16	0.7993820349	0.123374048
17	0.7993820349	0.1198335141818	0.7993820349	0.1143113284
19	0.7993820349	0.1111632134
20	0.7993820349	0.1073622853
21	0.7993820349	0.1042850807
22	0.7993820349	0.1013002734
23	0.7993820349	0.09915564934
24	0.7993820349	0.09749368661
25	0.7993820349	0.09559382782
26	0.7993820349	0.09445937015
27	0.7993820349	0.09312395309
28	0.7993820349	0.09193354892
29	0.7993820349	0.09117387395
30	0.7993820349	0.09050971972
31	0.7993820349	0.0899516696
32	0.7993820349	0.08943606987
33	0.7993820349	0.0888991283
34	0.7993820349	0.08839032911
35	0.7993820349	0.08794856928
36	0.7993820349	0.08760111437
37	0.7993820349	0.08731633593
38	0.7993820349	0.08695875929
39	0.7993820349	0.0861039859
40	0.7997793712	0.08582679558
41	0.7997793712	0.08551152183
42	0.7997793712	0.08534025885
43	0.7999117582	0.08468147839
44	0.7998235359	0.0844425599
45	0.799735333	0.0843379365
46	0.799735333	0.08382482317
47	0.7998676811	0.08368406436
48	0.8001322897	0.08350232143
49	0.8001322897	0.08332879373
50	0.8005289839	0.0831714963
51	0.8004407713	0.08299872455
52	0.8004407713	0.08289078389
53	0.8003525782	0.0827179711
54	0.8004847417	0.08234689594
55	0.8004847417	0.08224264647
56	0.8008810573	0.08209976737
57	0.8010569195	0.08197321321
58	0.8012326656	0.08185678735
59	0.801760176	0.08180497956
60	0.8020237571	0.08173272354
61	0.8021555042	0.0816485253
62	0.8025939767	0.08156901217
63	0.8027255742	0.08147757812
64	0.8028122597	0.08140211657
65	0.8030752334	0.08133149872
66	0.8032930845	0.08127057838
67	0.8035557507	0.0811864229
68	0.8034675738	0.0811308553
69	0.8034675738	0.08105703991
70	0.8035106967	0.08100016927
71	0.8034225538	0.08091308826
72	0.8035087719	0.08082683838
73	0.8037260274	0.08074370898
74	0.8038571115	0.08070395876
75	0.8041191937	0.08062674148
76	0.8044240035	0.08058072071
77	0.8047285464	0.08053390977
78	0.8052516411	0.08048646105
79	0.8052516411	0.08023614258
80	0.805904866	0.08018410311
81	0.8062541002	0.08013397162
82	0.8063387978	0.08008123611
83	0.8066419052	0.08003514189
84	0.8069025775	0.07998219379
85	0.807032871	0.07989121777
86	0.8075537605	0.07985535454
87	0.8074656189	0.07964890863
88	0.8075076386	0.07960586657
89	0.8080279232	0.07955951965
90	0.8081579234	0.07952177276
91	0.8080697928	0.07946181537
92	0.8078516903	0.07941770562
93	0.8081997601	0.0793815297
94	0.8083296991	0.07924197102
95	0.8082833787	0.0791980264
96	0.808413252	0.07914387858
97	0.8084550011	0.07908916615
98	0.8088443525	0.07904082258
99	0.8089324619	0.07900594223
100	0.8088443525	0.07895146212
101	0.8086681912	0.07890543992
102	0.808885985	0.07886912219
103	0.8090156794	0.07884243337
104	0.8089275993	0.07878740129
105	0.8089275993	0.07873704595
106	0.8092749837	0.078676538
107	0.80914037	0.07862988842
108	0.8093579978	0.07861052039
